date,value
2024-07-25,217.49
2024-07-26,217.96
2024-07-29,218.24
2024-07-30,218.8
2024-07-31,222.08
2024-08-01,218.36
2024-08-02,219.86
2024-08-05,209.27
2024-08-06,207.23
2024-08-07,209.82
2024-08-08,213.31
2024-08-09,216.24
2024-08-12,217.78
2024-08-13,221.524
2024-08-14,221.975
2024-08-15,224.978
2024-08-16,226.31
2024-08-19,226.15
2024-08-20,226.77
2024-08-21,226.66
2024-08-22,224.788
2024-08-23,227.101
2024-08-26,227.441
2024-08-27,228.292
2024-08-28,226.75
2024-08-29,230.054
2024-08-30,229.263
2024-09-03,223.026
2024-09-04,221.104
2024-09-05,222.636
2024-09-06,221.074
2024-09-09,221.164
2024-09-10,220.363
2024-09-11,222.916
2024-09-12,223.026
2024-09-13,222.756
2024-09-16,216.569
2024-09-17,217.039
2024-09-18,220.944
2024-09-19,229.133
2024-09-20,228.462
2024-09-23,226.73
2024-09-24,227.631
2024-09-25,226.63
2024-09-26,227.781
2024-09-27,228.052
2024-09-30,233.268
2024-10-01,226.47
2024-10-02,227.041
2024-10-03,225.929
2024-10-04,227.061
2024-10-07,221.945
2024-10-08,226.029
2024-10-09,229.804
2024-10-10,229.303
2024-10-11,227.812
2024-10-14,231.566
2024-10-15,234.119
2024-10-16,232.046
2024-10-17,232.417
2024-10-18,235.27
2024-10-21,236.752
2024-10-22,236.131
2024-10-23,231.025
2024-10-24,230.835
2024-10-25,231.676
2024-10-28,233.668
2024-10-29,233.939
2024-10-30,230.364
2024-10-31,226.17
2024-11-01,223.166
2024-11-04,222.265
2024-11-05,223.707
2024-11-06,222.976
2024-11-07,227.741
2024-11-08,227.471
2024-11-11,224.735
2024-11-12,224.735
2024-11-13,225.627
2024-11-14,228.734
2024-11-15,225.507
2024-11-18,228.534
2024-11-19,228.794
2024-11-20,229.516
2024-11-21,229.035
2024-11-22,230.388
2024-11-25,233.394
2024-11-26,235.589
2024-11-27,235.459
2024-11-29,237.864
2024-12-02,240.13
2024-12-03,243.196
2024-12-04,243.557
2024-12-05,243.587
2024-12-06,243.387
2024-12-09,247.306
2024-12-10,248.328
2024-12-11,247.045
2024-12-12,248.518
2024-12-13,248.689
2024-12-16,251.605
2024-12-17,254.051
2024-12-18,248.609
2024-12-19,250.353
2024-12-20,255.063
2024-12-23,255.845
2024-12-24,258.781
2024-12-26,259.603
2024-12-27,256.166
2024-12-30,252.768
2024-12-31,250.984
2025-01-02,244.399
2025-01-03,243.908
2025-01-06,245.552
2025-01-07,242.755
2025-01-08,243.247
2025-01-10,237.383
2025-01-13,234.928
2025-01-14,233.805
2025-01-15,238.406
2025-01-16,228.774
2025-01-17,230.498
