date,value
2024-07-25,418.4
2024-07-26,425.27
2024-07-29,426.73
2024-07-30,422.92
2024-07-31,418.35
2024-08-01,417.11
2024-08-02,408.49
2024-08-05,395.15
2024-08-06,399.61
2024-08-07,398.43
2024-08-08,402.69
2024-08-09,406.02
2024-08-12,406.81
2024-08-13,414.01
2024-08-14,416.86
2024-08-15,421.78
2024-08-16,419.2154
2024-08-19,422.2809
2024-08-20,425.5567
2024-08-21,424.8955
2024-08-22,416.2902
2024-08-23,417.5324
2024-08-26,414.2266
2024-08-27,414.5772
2024-08-28,411.3314
2024-08-29,413.8559
2024-08-30,417.8831
2024-09-03,410.1694
2024-09-04,409.6284
2024-09-05,409.1175
2024-09-06,402.4156
2024-09-09,406.4427
2024-09-10,414.9378
2024-09-11,423.7936
2024-09-12,427.7606
2024-09-13,431.357
2024-09-16,432.1084
2024-09-17,435.9252
2024-09-18,431.5774
2024-09-19,439.4715
2024-09-20,436.0454
2024-09-23,434.2822
2024-09-24,429.9345
2024-09-25,432.8797
2024-09-26,432.0783
2024-09-27,428.7825
2024-09-30,431.0665
2024-10-01,421.4394
2024-10-02,417.8731
2024-10-03,417.282
2024-10-04,416.8011
2024-10-07,410.2695
2024-10-08,415.4487
2024-10-09,418.2036
2024-10-10,416.5808
2024-10-11,417.0616
2024-10-14,419.8866
2024-10-15,419.4859
2024-10-16,416.8613
2024-10-17,417.4623
2024-10-18,418.9049
2024-10-21,419.526
2024-10-22,428.2715
2024-10-23,425.3564
2024-10-24,425.4866
2024-10-25,428.9127
2024-10-28,427.3499
2024-10-29,432.7195
2024-10-30,433.3005
2024-10-31,407.0738
2024-11-01,411.101
2024-11-04,409.1876
2024-11-05,412.193
2024-11-06,420.9285
2024-11-07,426.1878
2024-11-08,423.2927
2024-11-11,418.7546
2024-11-12,423.7836
2024-11-13,425.9574
2024-11-14,427.6504
2024-11-15,415.7393
2024-11-18,416.5006
2024-11-19,418.5342
2024-11-20,416.2301
2024-11-21,414.4369
2024-11-22,418.5826
2024-11-25,420.3794
2024-11-26,429.6143
2024-11-27,424.5954
2024-11-29,425.0671
2024-12-02,432.6157
2024-12-03,432.8365
2024-12-04,439.0801
2024-12-05,444.2999
2024-12-06,445.2535
2024-12-09,447.7128
2024-12-10,445.0125
2024-12-11,450.694
2024-12-12,451.2662
2024-12-13,448.9675
2024-12-16,453.3039
2024-12-17,456.1848
2024-12-18,439.05
2024-12-19,438.6886
2024-12-20,438.257
2024-12-23,436.9019
2024-12-24,440.9974
2024-12-26,439.7727
2024-12-27,432.164
2024-12-30,426.4423
2024-12-31,423.0997
2025-01-02,420.1686
2025-01-03,424.9567
2025-01-06,429.4738
2025-01-07,423.973
2025-01-08,426.1713
2025-01-10,420.54
2025-01-13,418.7733
2025-01-14,417.2476
2025-01-15,427.928
2025-01-16,426.1914
2025-01-17,430.6583
2025-01-21,429.4638
